OrderID,CustomerID,MenuItemID,OrderDate
149,859,37,2021-06-09
150,71,55,2021-10-11
151,776,44,2021-02-21
152,709,54,2021-12-02
153,437,38,2021-12-06
154,792,33,2021-01-01
155,831,1,2021-09-28
156,922,7,2021-01-10
157,10,44,2021-06-07
158,401,41,2021-03-31
159,722,48,2021-01-09
160,316,5,2021-03-23
161,50,17,2021-06-21
162,215,58,2021-10-13
163,847,19,2021-06-09
164,736,23,2021-10-13
165,160,37,2021-05-08
166,671,48,2021-09-12
167,47,45,2021-09-20
168,291,31,2021-05-30
169,653,8,2021-02-24
170,318,21,2021-09-28
171,148,11,2021-07-06
172,995,43,2021-10-26
173,968,55,2021-01-07
174,142,39,2021-04-05
175,170,29,2021-07-21
176,752,51,2021-04-01
177,717,32,2021-03-30
178,371,21,2021-07-17
179,900,5,2021-07-25
180,700,49,2021-12-22
181,610,10,2021-11-10
182,585,22,2021-02-04
183,541,32,2021-08-30
184,733,6,2021-12-08
185,573,14,2021-06-21
186,36,10,2021-08-05
187,538,3,2021-02-17
188,829,25,2021-01-08
189,316,32,2021-05-11
190,562,38,2021-12-26
191,910,20,2021-09-15
192,205,13,2021-10-06
193,912,16,2021-06-07
194,295,60,2021-12-04
195,237,29,2021-06-16
196,996,54,2021-10-28
197,887,58,2021-11-23
198,558,21,2021-12-17
199,578,9,2021-02-11
200,96,29,2021-06-29
201,862,53,2021-08-24
202,8,40,2021-02-28
203,942,40,2021-05-24
204,841,24,2021-11-28
205,537,8,2021-08-22
206,645,19,2021-06-21
207,869,45,2021-07-08
208,157,47,2021-06-22
209,509,39,2021-01-09
210,229,47,2021-03-18
211,981,37,2021-12-01
212,24,17,2021-02-15
213,43,45,2021-12-25
214,566,51,2021-07-22
215,840,12,2021-08-05
216,786,53,2021-06-08
217,524,44,2021-08-30
218,415,60,2021-04-16
219,69,28,2021-12-27
220,876,54,2021-08-23
221,152,36,2021-07-04
222,139,60,2021-04-07
223,825,34,2021-10-23
224,523,44,2021-10-14
225,563,44,2021-08-29
226,20,9,2021-06-24
227,693,23,2021-01-08
228,353,59,2021-08-15
229,180,11,2021-02-24
230,995,10,2021-05-15
231,926,5,2021-02-08
232,503,26,2021-08-01
233,773,38,2021-01-30
234,539,13,2021-03-21
235,273,24,2021-09-28
236,12,56,2021-06-17
237,235,42,2021-12-15
238,283,46,2021-03-26
239,300,56,2021-07-18
240,746,38,2021-04-16
241,730,30,2021-02-07
242,453,52,2021-10-16
243,240,60,2021-03-06
244,42,40,2021-08-18
245,10,48,2021-01-16
246,566,18,2021-08-29
247,969,46,2021-05-11
248,965,42,2021-02-24
249,421,51,2021-07-13
250,986,50,2021-02-05
251,873,1,2021-01-11
252,374,7,2021-11-18
253,147,35,2021-12-04
254,554,15,2021-04-24
255,452,55,2021-06-23
256,216,10,2021-10-09
257,697,60,2021-04-01
258,315,13,2021-06-03
259,226,36,2021-05-30
260,235,7,2021-07-03
261,551,50,2021-04-30
262,390,39,2021-11-10
263,601,32,2021-12-11
264,231,3,2021-12-12
265,944,53,2021-04-01
266,17,39,2021-10-22
267,250,15,2021-10-17
268,577,29,2021-12-12
269,206,14,2021-04-14
270,384,55,2021-12-15
271,750,28,2021-05-21
272,376,49,2021-02-23
273,336,8,2021-06-23
274,776,42,2021-12-29
275,427,19,2021-11-11
276,184,48,2021-04-22
277,426,40,2021-02-12
278,893,27,2021-10-04
279,21,6,2021-06-18
280,953,26,2021-06-17
281,872,14,2021-07-10
282,879,39,2021-11-04
283,159,10,2021-01-24
284,241,58,2021-12-01
285,965,14,2021-09-19
286,134,45,2021-06-17
287,841,8,2021-12-21
288,789,45,2021-11-14
289,788,55,2021-05-25
290,215,21,2021-11-04
291,416,36,2021-05-07
292,83,6,2021-08-30
293,761,29,2021-12-23
294,92,33,2021-05-17
295,162,22,2021-03-29
296,759,31,2021-05-16
297,534,4,2021-02-15
298,383,35,2021-08-19
299,700,44,2021-04-19
300,990,14,2021-02-16
301,670,11,2021-03-27
302,746,2,2021-08-31
303,723,38,2021-10-12
304,769,7,2021-06-27
305,538,19,2021-07-30
306,658,27,2021-12-11
307,496,24,2021-01-25
308,182,14,2021-01-18
309,958,47,2021-09-22
310,128,36,2021-11-26
311,945,17,2021-08-17
312,454,36,2021-01-14
313,788,33,2021-12-24
314,777,43,2021-10-14
315,972,6,2021-07-25
316,121,19,2021-04-30
317,595,57,2021-02-01
318,418,5,2021-10-17
319,414,59,2021-07-07
320,749,4,2021-07-19
321,23,32,2021-01-25
322,943,1,2021-08-24
323,898,6,2021-03-13
324,223,50,2021-02-20
325,377,39,2021-07-08
326,710,12,2021-01-30
327,636,39,2021-01-10
328,100,56,2021-02-08
329,217,1,2021-12-27
330,495,56,2021-12-07
331,215,58,2021-12-18
332,224,58,2021-09-10
333,558,39,2021-07-20
334,636,4,2021-08-20
335,76,26,2021-01-23
336,914,38,2021-12-15
337,46,60,2021-12-23
338,928,10,2021-09-08
339,380,40,2021-08-24
340,49,58,2021-04-15
341,609,24,2021-02-04
342,671,41,2021-02-04
343,459,56,2021-11-24
344,337,56,2021-11-13
345,194,14,2021-12-31
346,850,16,2021-03-20
347,165,10,2021-10-13
348,899,33,2021-01-01
349,912,51,2021-12-14
350,713,47,2021-01-03
351,808,16,2021-05-30
352,966,13,2021-04-27
353,490,37,2021-05-08
354,273,41,2021-01-03
355,313,18,2021-01-27
356,636,20,2021-02-11
357,703,54,2021-06-12
358,516,54,2021-04-11
359,741,22,2021-04-02
360,190,23,2021-01-03
361,841,17,2021-06-27
362,685,29,2021-04-01
363,225,13,2021-09-30
364,808,2,2021-11-04
365,372,42,2021-07-04
366,152,26,2021-05-20
367,882,11,2021-07-08
368,806,56,2021-03-15
369,981,29,2021-05-28
370,215,5,2021-08-25
371,181,26,2021-03-24
372,510,58,2021-02-25
373,313,8,2021-03-29
374,973,39,2021-08-10
375,815,6,2021-02-05
376,164,36,2021-02-10
377,489,21,2021-10-26
378,611,2,2021-03-24
379,701,22,2021-03-19
380,190,19,2021-09-01
381,392,33,2021-01-01
382,69,56,2021-05-05
383,177,26,2021-04-10
384,411,6,2021-09-11
385,289,50,2021-04-17
386,62,59,2021-07-19
387,403,10,2021-05-09
388,784,7,2021-04-28
389,270,61,2021-02-03
390,830,45,2021-09-15
391,635,2,2021-08-14
392,341,12,2021-09-12
393,229,6,2021-11-27
394,797,32,2021-07-19
395,660,12,2021-05-17
396,600,31,2021-04-19
397,736,2,2021-05-01
398,616,33,2021-09-11
399,780,17,2021-12-12
400,453,58,2021-05-24
401,188,61,2021-06-07
402,101,58,2021-02-03
403,412,56,2021-03-25
404,739,34,2021-01-24
405,708,20,2021-10-24
406,795,10,2021-01-05
407,512,45,2021-12-06
408,445,48,2021-06-15
409,668,56,2021-07-10
410,565,53,2021-07-26
411,311,26,2021-09-12
412,63,50,2021-11-01
413,777,4,2021-01-28
414,370,19,2021-03-16
415,659,52,2021-03-09
416,689,19,2021-05-16
417,550,58,2021-02-16
418,691,54,2021-06-06
419,33,23,2021-05-25
420,107,59,2021-05-03
421,300,49,2021-08-02
422,200,40,2021-05-08
423,211,34,2021-02-01
424,219,44,2021-06-08
425,15,31,2021-11-07
426,622,48,2021-12-19
427,134,18,2021-11-30
428,887,54,2021-01-14
429,756,56,2021-10-24
430,23,51,2021-06-26
431,408,38,2021-07-08
432,232,28,2021-12-15
433,705,54,2021-12-12
434,561,49,2021-03-01
435,12,8,2021-11-20
436,734,53,2021-04-25
437,889,52,2021-11-03
438,730,27,2021-06-22
439,186,5,2021-10-08
440,500,31,2021-09-19
441,456,42,2021-03-19
442,128,12,2021-05-30
443,109,52,2021-08-29
444,149,46,2021-02-21
445,759,53,2021-01-19
446,444,38,2021-06-04
447,241,10,2021-10-29
448,942,2,2021-11-27
449,219,4,2021-06-09
450,361,26,2021-10-14
451,496,56,2021-09-22
452,943,13,2021-06-17
453,352,42,2021-09-22
454,422,13,2021-04-26
455,421,37,2021-08-26
456,782,34,2021-09-17
457,551,54,2021-11-13
458,633,39,2021-11-01
459,682,21,2021-03-22
460,506,29,2021-10-06
461,966,19,2021-12-15
462,506,46,2021-07-01
463,475,25,2021-11-01
464,136,20,2021-11-09
465,77,27,2021-01-22
466,361,5,2021-02-05
467,626,60,2021-04-25
468,892,45,2021-01-10
469,124,15,2021-09-28
470,815,45,2021-10-23
471,83,42,2021-01-17
472,145,11,2021-01-21
473,314,5,2021-04-30
474,294,33,2021-05-22
475,199,54,2021-06-26
476,696,46,2021-11-19
477,387,45,2021-03-07
478,460,19,2021-09-12
479,354,26,2021-05-12
480,73,35,2021-07-21
481,120,42,2021-12-20
482,658,5,2021-08-19
483,804,42,2021-12-08
484,28,45,2021-07-06
485,285,18,2021-09-16
486,338,32,2021-05-10
487,347,26,2021-02-11
488,951,9,2021-10-22
489,345,45,2021-11-24
490,730,54,2021-02-17
491,547,26,2021-11-25
492,126,15,2021-11-07
493,700,49,2021-10-15
494,101,8,2021-10-26
495,385,20,2021-10-13
496,635,3,2021-03-31
497,566,44,2021-03-22
498,265,45,2021-07-06
499,844,31,2021-02-23
500,160,39,2021-11-10
501,4,57,2021-06-11
502,77,33,2021-03-03
503,237,35,2021-09-06
504,888,39,2021-11-12
505,80,5,2021-06-26
506,993,26,2021-06-14
507,187,9,2021-02-08
508,550,32,2021-06-01
509,274,31,2021-12-01
510,197,2,2021-06-22
511,853,57,2021-06-10
512,886,32,2021-03-28
513,717,10,2021-10-25
514,563,14,2021-08-15
515,293,10,2021-10-01
516,181,51,2021-01-07
517,486,33,2021-11-29
518,401,30,2021-03-29
519,326,39,2021-01-14
520,754,10,2021-08-30
521,269,23,2021-03-08
522,912,12,2021-01-16
523,414,55,2021-09-24
524,617,28,2021-12-13
525,736,13,2021-01-15
526,895,7,2021-04-26
527,232,48,2021-04-06
528,366,22,2021-10-11
529,500,31,2021-01-03
530,129,2,2021-02-03
531,913,14,2021-02-26
532,782,41,2021-12-25
533,83,27,2021-04-03
534,6,3,2021-08-12
535,624,53,2021-12-05
536,346,26,2021-07-12
537,46,58,2021-09-19
538,747,39,2021-12-21
539,300,50,2021-02-23
540,94,53,2021-06-10
541,81,1,2021-01-05
542,986,43,2021-11-07
543,262,26,2021-08-12
544,82,42,2021-03-22
545,413,3,2021-05-08
546,286,19,2021-05-08
547,609,42,2021-12-03
548,730,20,2021-02-02
549,331,8,2021-02-15
550,286,47,2021-02-02
551,268,56,2021-07-28
552,988,32,2021-01-28
553,927,15,2021-02-05
554,89,23,2021-01-13
555,170,12,2021-08-21
556,893,19,2021-02-24
557,666,22,2021-03-22
558,372,2,2021-01-22
559,808,35,2021-02-22
560,104,28,2021-01-06
561,624,55,2021-06-24
562,248,55,2021-05-09
563,302,4,2021-10-18
564,908,13,2021-10-20
565,305,4,2021-11-11
566,64,53,2021-12-26
567,65,46,2021-12-19
568,423,22,2021-07-11
569,458,19,2021-05-23
570,705,1,2021-08-07
571,521,3,2021-02-17
572,678,19,2021-02-14
573,155,31,2021-10-10
574,566,17,2021-10-11
575,179,23,2021-05-06
576,470,20,2021-11-21
577,899,57,2021-10-21
578,417,17,2021-12-27
579,792,17,2021-10-03
580,32,31,2021-06-24
581,83,39,2021-05-14
582,445,17,2021-06-05
583,707,37,2021-03-15
584,391,28,2021-03-10
585,192,60,2021-01-19
586,886,22,2021-09-22
587,904,4,2021-05-11
588,628,24,2021-01-05
589,432,51,2021-09-09
590,100,2,2021-08-08
591,366,25,2021-08-06
592,712,31,2021-07-03
593,453,46,2021-02-25
594,425,19,2021-03-14
595,63,46,2021-10-20
596,320,48,2021-01-24
597,119,2,2021-10-26
598,376,9,2021-04-29
599,944,6,2021-05-05
600,524,43,2021-05-04
601,904,60,2021-07-30
602,398,14,2021-03-31
603,652,43,2021-10-23
604,786,61,2021-07-18
605,985,35,2021-04-11
606,764,25,2021-12-09
607,146,49,2021-12-15
608,891,7,2021-04-05
609,910,39,2021-09-29
610,682,10,2021-04-07
611,833,17,2021-09-09
612,245,55,2021-01-13
613,84,32,2021-02-25
614,540,20,2021-03-14
615,197,43,2021-04-22
616,498,11,2021-07-18
617,584,40,2021-06-04
618,118,10,2021-03-04
619,599,8,2021-08-15
620,815,51,2021-10-15
621,915,12,2021-12-22
622,527,4,2021-10-22
623,70,50,2021-06-28
624,1000,49,2021-03-29
625,845,52,2021-08-26
626,891,4,2021-08-10
627,471,27,2021-10-21
628,329,54,2021-10-31
629,456,41,2021-12-20
630,901,44,2021-10-23
631,942,6,2021-04-10
632,841,35,2021-10-31
633,787,49,2021-03-07
634,437,32,2021-04-09
635,65,56,2021-04-23
636,151,5,2021-07-25
637,579,57,2021-11-12
638,135,11,2021-01-20
639,145,16,2021-05-31
640,682,50,2021-01-01
641,294,26,2021-10-10
642,127,60,2021-07-23
643,448,57,2021-02-16
644,256,55,2021-05-15
645,24,13,2021-10-27
646,648,60,2021-03-06
647,397,52,2021-01-27
648,596,38,2021-12-18
649,380,32,2021-09-29
650,951,57,2021-04-25
651,895,26,2021-04-10
652,415,49,2021-10-10
653,532,2,2021-02-24
654,322,51,2021-01-23
655,339,50,2021-06-14
656,413,37,2021-09-24
657,820,48,2021-01-29
658,832,55,2021-10-27
659,900,27,2021-08-26
660,72,35,2021-10-19
661,585,8,2021-12-23
662,129,40,2021-07-11
663,609,38,2021-06-22
664,242,52,2021-04-13
665,444,56,2021-02-21
666,56,28,2021-02-20
667,142,3,2021-07-18
668,774,16,2021-12-13
669,539,29,2021-03-02
670,251,24,2021-11-15
671,604,9,2021-03-29
672,840,36,2021-03-08
673,118,37,2021-04-18
674,841,51,2021-01-02
675,365,19,2021-11-01
676,37,17,2021-09-30
677,686,10,2021-10-04
678,868,31,2021-05-27
679,298,21,2021-01-19
680,182,49,2021-12-27
681,275,23,2021-07-11
682,938,43,2021-12-19
683,783,10,2021-06-25
684,933,38,2021-12-19
685,217,33,2021-11-27
686,738,44,2021-04-24
687,435,55,2021-12-14
688,862,15,2021-12-31
689,723,28,2021-05-14
690,795,52,2021-02-21
691,653,36,2021-08-10
692,944,6,2021-05-04
693,54,31,2021-10-05
694,240,18,2021-06-05
695,722,42,2021-11-02
696,398,26,2021-08-17
697,662,23,2021-02-06
698,649,47,2021-03-28
699,197,46,2021-09-17
700,937,4,2021-08-15
701,662,7,2021-12-24
702,566,31,2021-04-03
703,462,19,2021-10-01
704,627,26,2021-10-29
705,793,4,2021-06-18
706,829,2,2021-07-27
707,360,1,2021-07-21
708,964,27,2021-11-27
709,213,25,2021-06-21
710,875,42,2021-03-30
711,447,61,2021-10-18
712,757,47,2021-10-10
713,624,58,2021-01-05
714,210,37,2021-06-17
715,997,1,2021-04-24
716,935,48,2021-03-21
717,116,8,2021-01-23
718,143,12,2021-03-12
719,519,27,2021-07-17
720,245,17,2021-04-05
721,467,46,2021-04-27
722,786,5,2021-06-26
723,378,60,2021-09-08
724,717,55,2021-12-26
725,779,2,2021-06-25
726,663,12,2021-10-09
727,881,22,2021-08-13
728,904,51,2021-04-17
729,308,60,2021-10-13
730,776,58,2021-03-07
731,348,60,2021-12-07
732,723,4,2021-01-17
733,124,29,2021-10-30
734,417,14,2021-03-17
735,878,6,2021-09-19
736,228,19,2021-10-24
737,695,16,2021-11-02
738,387,24,2021-03-19
739,799,55,2021-07-31
740,368,26,2021-10-19
741,687,49,2021-02-09
742,550,20,2021-03-18
743,645,48,2021-03-04
744,947,33,2021-09-16
745,181,60,2021-02-24
746,722,15,2021-01-29
747,34,10,2021-06-25
748,737,25,2021-11-03
749,534,47,2021-09-09
750,641,5,2021-12-26
751,760,47,2021-05-01
752,250,13,2021-07-18
753,50,26,2021-07-30
754,637,34,2021-07-24
755,642,4,2021-06-11
756,850,24,2021-05-02
757,453,11,2021-03-02
758,832,11,2021-11-02
759,38,34,2021-05-12
760,126,50,2021-08-19
761,667,16,2021-10-10
762,303,23,2021-03-23
763,834,32,2021-11-26
764,930,53,2021-06-14
765,51,46,2021-07-16
766,339,25,2021-10-29
767,927,59,2021-07-29
768,590,26,2021-04-16
769,450,2,2021-04-16
770,906,45,2021-06-30
771,46,14,2021-12-05
772,306,43,2021-02-14
773,306,26,2021-01-24
774,100,49,2021-05-05
775,279,60,2021-11-20
776,740,10,2021-04-03
777,287,44,2021-03-02
778,224,60,2021-03-22
779,177,59,2021-02-14
780,971,26,2021-06-06
781,891,43,2021-07-27
782,253,15,2021-03-25
783,887,3,2021-03-16
784,988,55,2021-09-02
785,933,42,2021-12-09
786,739,21,2021-11-20
787,99,24,2021-12-26
788,718,32,2021-08-12
789,530,56,2021-11-11
790,149,30,2021-11-29
791,755,53,2021-10-01
792,662,43,2021-10-14
793,95,28,2021-06-08
794,496,32,2021-01-14
795,782,58,2021-11-23
796,447,30,2021-11-04
797,546,42,2021-08-11
798,693,4,2021-03-28
799,885,32,2021-12-29
800,212,38,2021-02-13
801,145,30,2021-07-21
802,29,22,2021-04-12
803,437,41,2021-10-29
804,986,21,2021-01-12
805,674,1,2021-08-20
806,593,19,2021-05-21
807,129,44,2021-05-25
808,976,41,2021-04-20
809,953,23,2021-07-20
810,760,22,2021-01-06
811,807,14,2021-11-11
812,388,41,2021-07-10
813,965,42,2021-12-27
814,578,27,2021-11-05
815,985,54,2021-05-25
816,407,44,2021-09-13
817,84,31,2021-01-23
818,469,50,2021-08-24
819,962,53,2021-03-17
820,13,2,2021-12-22
821,183,33,2021-12-12
822,61,49,2021-08-18
823,305,20,2021-04-14
824,55,15,2021-06-25
825,101,50,2021-01-25
826,486,56,2021-04-16
827,561,23,2021-03-26
828,748,5,2021-12-29
829,248,58,2021-07-24
830,841,28,2021-02-20
831,65,3,2021-03-24
832,510,20,2021-08-27
833,287,1,2021-12-12
834,573,6,2021-07-24
835,811,33,2021-07-09
836,709,39,2021-05-23
837,868,28,2021-07-19
838,219,14,2021-01-27
839,713,60,2021-05-30
840,891,7,2021-11-28
841,663,13,2021-10-24
842,324,8,2021-02-02
843,49,42,2021-01-07
844,577,28,2021-01-27
845,133,2,2021-09-10
846,373,20,2021-11-02
847,964,46,2021-12-25
848,677,1,2021-07-29
849,114,4,2021-12-05
850,364,28,2021-12-29
851,354,31,2021-09-29
852,915,9,2021-03-14
853,638,21,2021-12-04
854,4,56,2021-03-30
855,566,5,2021-08-20
856,9,32,2021-10-10
857,958,17,2021-12-20
858,422,35,2021-03-12
859,449,31,2021-01-14
860,739,34,2021-01-04
861,300,49,2021-07-24
862,730,50,2021-03-02
863,418,52,2021-06-02
864,737,54,2021-11-15
865,485,50,2021-02-02
866,891,21,2021-10-25
867,533,6,2021-08-22
868,143,61,2021-08-05
869,762,9,2021-07-16
870,622,56,2021-09-22
871,400,24,2021-09-08
872,876,55,2021-11-21
873,959,15,2021-01-06
874,553,42,2021-07-12
875,500,3,2021-09-05
876,154,23,2021-10-09
877,691,55,2021-05-14
878,575,44,2021-05-25
879,524,59,2021-12-08
880,192,22,2021-05-28
881,119,60,2021-07-20
882,199,34,2021-06-02
883,502,51,2021-04-14
884,672,1,2021-02-18
885,88,58,2021-07-08
886,22,19,2021-07-31
887,617,16,2021-06-06
888,809,28,2021-06-25
889,262,47,2021-02-18
890,576,61,2021-10-19
891,31,12,2021-10-28
892,594,17,2021-08-24
893,74,25,2021-12-22
894,109,14,2021-04-11
895,176,11,2021-08-25
896,350,52,2021-09-12
897,251,48,2021-04-04
898,415,31,2021-06-07
899,105,43,2021-04-27
900,459,1,2021-10-09
901,871,30,2021-04-08
902,585,58,2021-07-02
903,543,58,2021-10-27
904,837,12,2021-02-16
905,15,5,2021-12-06
906,213,42,2021-05-30
907,947,55,2021-11-30
908,433,8,2021-09-19
909,814,57,2021-09-27
910,909,28,2021-02-22
911,201,10,2021-11-27
912,755,54,2021-05-27
913,548,49,2021-02-16
914,220,11,2021-03-02
915,224,4,2021-09-13
916,147,61,2021-02-11
917,370,27,2021-02-23
918,521,17,2021-11-27
919,495,29,2021-07-09
920,2,12,2021-01-12
921,552,47,2021-08-02
922,397,53,2021-09-04
923,159,13,2021-10-25
924,697,49,2021-12-11
925,407,1,2021-01-24
926,585,27,2021-07-29
927,633,28,2021-09-19
928,982,29,2021-01-13
929,182,20,2021-06-25
930,824,21,2021-04-29
931,241,52,2021-10-22
932,368,54,2021-05-02
933,845,48,2021-01-18
934,811,23,2021-02-23
935,383,2,2021-09-13
936,989,25,2021-04-26
937,698,53,2021-03-21
938,607,60,2021-07-30
939,46,49,2021-09-09
940,247,8,2021-10-02
941,560,51,2021-06-16
942,477,9,2021-06-02
943,817,2,2021-04-23
944,715,12,2021-06-01
945,724,6,2021-02-07
946,842,14,2021-04-03
947,390,33,2021-04-03
948,412,38,2021-07-24
949,73,32,2021-10-20
950,955,40,2021-10-23
951,458,21,2021-04-21
952,171,43,2021-09-15
953,396,39,2021-09-06
954,524,45,2021-02-04
955,906,35,2021-11-06
956,388,20,2021-07-06
957,276,23,2021-02-18
958,890,9,2021-03-23
959,967,21,2021-04-18
960,200,47,2021-06-04
961,802,13,2021-09-10
962,708,2,2021-06-08
963,440,25,2021-04-13
964,337,6,2021-01-12
965,230,5,2021-12-31
966,624,7,2021-03-24
967,655,26,2021-05-11
968,14,15,2021-02-18
969,201,24,2021-07-12
970,433,29,2021-04-02
971,228,50,2021-04-07
972,796,19,2021-08-31
973,721,12,2021-04-08
974,512,14,2021-03-22
975,419,51,2021-09-14
976,567,11,2021-07-20
977,292,14,2021-11-17
978,723,47,2021-10-14
979,68,57,2021-06-30
980,504,12,2021-06-07
981,161,35,2021-09-30
982,681,32,2021-05-28
983,721,59,2021-03-06
984,70,7,2021-09-21
985,161,27,2021-07-30
986,854,17,2021-03-01
987,871,52,2021-04-15
988,415,44,2021-06-25
989,231,41,2021-02-18
990,91,15,2021-03-22
991,343,41,2021-08-01
992,658,8,2021-07-02
993,240,35,2021-02-10
994,914,37,2021-05-24
995,659,19,2021-01-16
996,823,1,2021-10-27
997,261,47,2021-07-29
998,178,39,2021-05-30
999,162,45,2021-08-19
1000,908,34,2021-06-24
1001,416,24,2021-04-15
1002,776,35,2021-10-06
1003,556,16,2021-08-14
1004,282,58,2021-01-27
1005,650,2,2021-08-19
1006,773,30,2021-11-14
1007,371,1,2021-10-28
1008,901,4,2021-06-27
1009,48,12,2021-10-11
1010,197,43,2021-12-04
1011,154,23,2021-01-09
1012,461,51,2021-12-09
1013,924,19,2021-06-02
1014,484,31,2021-06-26
1015,475,37,2021-04-24
1016,823,7,2021-01-22
1017,375,15,2021-02-05
1018,847,26,2021-04-28
1019,482,58,2021-10-24
1020,974,34,2021-05-22
1021,20,44,2021-03-17
1022,861,50,2021-09-21
1023,733,4,2021-12-24
1024,646,34,2021-06-15
1025,477,34,2021-12-02
1026,591,25,2021-01-27
1027,634,16,2021-06-07
1028,521,16,2021-05-12
1029,792,4,2021-11-11
1030,317,24,2021-10-07
1031,233,19,2021-04-29
1032,756,41,2021-08-17
1033,245,57,2021-11-25
1034,766,42,2021-03-22
1035,510,54,2021-12-05
1036,331,29,2021-10-05
1037,751,22,2021-08-16
1038,55,52,2021-09-07
1039,192,39,2021-04-17
1040,612,31,2021-07-02
1041,196,5,2021-01-17
1042,187,18,2021-07-02
1043,373,39,2021-12-12
1044,939,50,2021-08-16
1045,763,33,2021-03-07
1046,664,42,2021-08-25
1047,216,21,2021-09-15
1048,533,42,2021-05-12
1049,461,43,2021-04-16
1050,376,16,2021-02-25
1051,576,47,2021-09-01
1052,748,45,2021-01-16
1053,15,26,2021-04-17
1054,739,5,2021-04-23
1055,993,3,2021-04-29
1056,897,32,2021-06-27
1057,560,13,2021-01-26
1058,506,51,2021-05-26
1059,51,23,2021-01-28
1060,471,37,2021-04-09
1061,120,7,2021-04-07
1062,987,6,2021-01-13
1063,384,1,2021-05-11
1064,933,49,2021-06-17
1065,547,5,2021-04-29
1066,368,16,2021-04-08
1067,90,60,2021-02-02
